Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

alignment_01	T01	20	1	1	8.15058	21.0742	40.2342	(((((1_0_0:0.32467036,((5_0_0:0.05597661,23_0_0:0.05597661)3:0.06837981,25_0_0:0.12435642)5:0.20031394)6:0.12292916,10_0_0:0.44759952)8:0.11943597,(((8_0_0:0.15994201,15_0_0:0.15994201)11:0.00354194,2_0_0:0.16348394)13:0.19068570,13_0_0:0.35416964)15:0.21286585)16:0.23660664,((19_0_0:0.23261785,20_0_0:0.23261785)19:0.15954009,(20_1_0:0.23263909,19_1_0:0.23263909)22:0.15951884)23:0.41148419)24:0.32822880,((9_0_0:0.35746629,((16_0_0:0.27202249,(17_0_0:0.07421460,4_0_0:0.07421460)29:0.19780789)30:0.04340819,7_0_0:0.31543068)32:0.04203560)33:0.55873270,(11_0_0:0.09321316,22_0_0:0.09321316)36:0.82298582)37:0.21567194);

alignment_02	T02	26	1	1	11.4287	37.16	61.1885	((((11_0_0:0.09322549,22_0_0:0.09322549)2:0.82296367,(9_0_0:0.35745015,(((17_0_0:0.07421321,4_0_0:0.07421321)6:0.19779528,16_0_0:0.27200849)8:0.04341541,7_0_0:0.31542390)10:0.04202626)11:0.55873900)12:0.21568027,(((((15_0_0:0.15995781,8_0_0:0.15995781)15:0.00350956,2_0_0:0.16346737)17:0.19068226,13_0_0:0.35414963)19:0.21289769,((((5_0_0:0.05598254,23_0_0:0.05598254)22:0.06836685,25_0_0:0.12434939)24:0.20032283,1_0_0:0.32467222)26:0.12293597,10_0_0:0.44760819)28:0.11943914)29:0.23659573,(20_0_0:0.23261813,19_0_0:0.23261813)32:0.57102493)33:0.32822637)34:0.30389557,((18_0_0:0.58217875,((26_0_0:0.15934749,6_0_0:0.15934749)38:0.38620050,21_0_0:0.54554799)40:0.03663076)41:0.05582083,((3_0_0:0.06285414,14_0_0:0.06285414)44:0.08391485,(24_0_0:0.02855162,12_0_0:0.02855162)47:0.11821737)48:0.49123060)49:0.79776541);

alignment_03	T03	28	1	1	11.5018	40.16	61.2228	(((((26_0_0:0.15934544,6_0_0:0.15934544)2:0.38619951,21_0_0:0.54554495)4:0.03660619,18_0_0:0.58215115)6:0.05584021,(((12_1_0:0.02854354,24_1_0:0.02854354)9:0.01599831,(24_0_0:0.02854255,12_0_0:0.02854255)12:0.01599930)13:0.10222776,(3_0_0:0.06285208,14_0_0:0.06285208)16:0.08391753)17:0.49122174)18:0.79777778,(((19_0_0:0.23262640,20_0_0:0.23262640)21:0.57102265,((13_0_0:0.35413313,((15_0_0:0.15995946,8_0_0:0.15995946)25:0.00352169,2_0_0:0.16348115)27:0.19065197)28:0.21290031,((1_0_0:0.32470391,(25_0_0:0.12437109,(5_0_0:0.05597784,23_0_0:0.05597784)33:0.06839325)34:0.20033282)35:0.12290759,10_0_0:0.44761150)37:0.11942194)38:0.23661561)39:0.32823357,((((16_0_0:0.27200646,(17_0_0:0.07421338,4_0_0:0.07421338)43:0.19779308)44:0.04341811,7_0_0:0.31542457)46:0.04204755,9_0_0:0.35747212)48:0.55871024,(22_0_0:0.09321275,11_0_0:0.09321275)51:0.82296961)52:0.21570025)53:0.30388652);

alignment_04	T04	24	1	1	10.9121	26.056	44.2153	((((11_0_0:0.09321776,22_0_0:0.09321776)2:0.82297207,(9_0_0:0.35745046,(((17_0_0:0.07421548,4_0_0:0.07421548)6:0.19778906,16_0_0:0.27200454)8:0.04341783,7_0_0:0.31542237)10:0.04202809)11:0.55873936)12:0.21568134,((20_0_0:0.23263544,19_0_0:0.23263544)15:0.57101320,((13_0_0:0.35414780,((15_0_0:0.15994424,8_0_0:0.15994424)19:0.00352182,2_0_0:0.16346606)21:0.19068174)22:0.21287895,(10_0_0:0.44760547,(1_0_0:0.32467590,((5_0_0:0.05597648,23_0_0:0.05597648)27:0.06837318,25_0_0:0.12434966)29:0.20032624)30:0.12292957)31:0.11942128)32:0.23662189)33:0.32822253)34:0.30389354,((21_0_0:0.54555129,((6_0_0:0.15935385,26_0_0:0.15935385)38:0.04096032,(26_1_0:0.15934755,6_1_0:0.15934755)41:0.04096662)42:0.34523712)43:0.03659077,18_0_0:0.58214206)45:0.85362264);

alignment_05	T05	22	1	1	10.3585	29.0742	45.2341	((((((((23_0_0:0.05598896,5_0_0:0.05598896)2:0.06837285,25_0_0:0.12436181)4:0.20031469,1_0_0:0.32467650)6:0.12293333,10_0_0:0.44760982)8:0.11941692,((2_0_0:0.16347399,(15_0_0:0.15993337,8_0_0:0.15993337)12:0.00354062)13:0.19066681,13_0_0:0.35414079)15:0.21288595)16:0.23661643,(20_0_0:0.23261825,19_0_0:0.23261825)19:0.57102493)20:0.32823092,(11_0_0:0.91619440,(9_0_0:0.35747052,((4_0_0:0.07421153,17_0_0:0.07421153)25:0.24122126,7_0_0:0.31543279)27:0.04203773)28:0.55872388)29:0.21567969)30:0.30388918,((18_0_0:0.58215831,21_0_0:0.58215831)33:0.05582496,((14_0_0:0.06286803,3_0_0:0.06286803)36:0.08390180,(24_0_0:0.02854647,12_0_0:0.02854647)39:0.11822336)40:0.49121343)41:0.79778000);
